Categ train acc	Categ valid acc	Person train acc	Person valid acc
0.500907	0.653077078673	0.530608	0.704367522771
0.767055	0.87506538257	0.778775	0.873483019571
0.876646	0.921914113065	0.89733	0.927250624324
0.919285	0.934806507081	0.940941	0.949768974135
0.938098	0.946361939733	0.956468	0.965312812477
0.94693	0.955233373369	0.964053	0.969910278916
0.958985	0.964303860441	0.971029	0.971537807335
0.966429	0.964032036563	0.977018	0.974411863213
0.973931	0.968224490061	0.980613	0.974727971479
0.97714	0.970751662428	0.983465	0.974058071151
